ticker,Company Name,Industry,sector,is_fo_stock,fo_category,stage,overall_setup_label,final_combined_score,change_1d_pct,change_1w_pct,change_1m_pct,change_ytd_pct,last_close,stage_variant,stage_classification,stage_display
TORNTPOWER.NS,Torrent Power Limited,Power,Unknown,False,Cash,Stage 1,watchlist,13.72,0.41,0.47,1.86,10.02,1440.0,Stage 1,Stage 1,Stage 1
NAVNETEDUL.NS,Navneet Education Limited,"Media, Entertainment & Publication",Unknown,False,Cash,Stage 2 Failed,watchlist,31.38,0.4,-2.05,2.18,2.86,144.54,Stage 2 Failed,Stage 2 Failed,Stage 2 Failed
REDTAPE.NS,Redtape Limited,Consumer Durables,Unknown,False,Cash,Stage 2 Failed,watchlist,12.76,0.4,-3.99,-7.03,2.48,127.28,Stage 2 Failed,Stage 2 Failed,Stage 2 Failed
PRUDENT.NS,Prudent Corporate Advisory Services Limited,Financial Services,Unknown,False,Cash,Stage 2,watchlist,66.4,0.39,1.38,-3.85,12.62,2870.0,Stage 2,Stage 2,Stage 2
IFCI.NS,IFCI Limited,Financial Services,Unknown,False,Cash,Stage 2,watchlist,39.3,0.39,-3.75,-8.58,32.64,70.39,Stage 2,Stage 2,Stage 2
PAISALO.NS,Paisalo Digital Limited,Financial Services,Unknown,False,Cash,Stage 2,watchlist,55.21,0.38,-1.36,18.71,93.2,70.44,Stage 2,Stage 2,Stage 2
BHARTIARTL.NS,Bharti Airtel Limited,Telecommunication,Unknown,True,F&O,Stage 1,watchlist,39.38,0.37,-0.56,4.25,-8.58,1905.3,Stage 1,Stage 1,Stage 1
BLUESTARCO.NS,Blue Star Limited,Consumer Durables,Unknown,True,F&O,Stage 4,watchlist,28.3,0.37,-4.15,0.86,-6.82,1643.2,Stage 4,Stage 4,Stage 4
ALLCARGO.NS,Allcargo Logistics Limited,Services,Unknown,False,Cash,Stage 4,watchlist,6.4,0.37,0.37,-0.74,-23.97,8.09,Stage 4,Stage 4,Stage 4
SUNTV.NS,Sun TV Network Limited,"Media, Entertainment & Publication",Unknown,False,Cash,Stage 4,watchlist,1.46,0.37,-0.24,-4.83,-16.25,488.7,Stage 4,Stage 4,Stage 4
NAZARA.NS,Nazara Technologies Limited,"Media, Entertainment & Publication",Unknown,False,Cash,Stage 2,watchlist,66.52,0.36,-1.89,0.91,8.36,303.4,Stage 2,Stage 2,Stage 2
CHOICEIN.NS,Choice International Limited,Financial Services,Unknown,False,Cash,Stage 2,watchlist,59.55,0.36,-1.85,10.52,-4.56,800.0,Stage 2,Stage 2,Stage 2
MARICO.NS,Marico Limited,Fast Moving Consumer Goods,Unknown,True,F&O,Stage 2,watchlist,56.62,0.36,0.39,3.98,12.91,858.65,Stage 2,Stage 2,Stage 2
AHLUCONT.NS,Ahluwalia Contracts (India) Limited,Construction,Unknown,False,Cash,Stage 4,watchlist,20.02,0.36,-1.66,-2.06,-13.4,830.65,Stage 4,Stage 4,Stage 4
