Company Name,Industry,Symbol,Series,ISIN Code,f&o
JSW Holdings Limited,Financial Services,JSWHL,EQ,INE824G01012,#N/A
JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026,#N/A
JSW Steel Limited,Metals & Mining,JSWSTEEL,EQ,INE019A01038,F&O
JTL INDUSTRIES LIMITED,Capital Goods,JTLIND,EQ,INE391J01024,#N/A
Jubilant Foodworks Limited,Consumer Services,JUBLFOOD,EQ,INE797F01020,F&O
Jubilant Ingrevia Limited,Chemicals,JUBLINGREA,EQ,INE0BY001018,#N/A
Jubilant Pharmova Limited,Healthcare,JUBLPHARMA,EQ,INE700A01033,#N/A
Just Dial Limited,Consumer Services,JUSTDIAL,EQ,INE599M01018,#N/A
Jupiter Wagons Limited,Capital Goods,JWL,EQ,INE209L01016,#N/A
Jyothy Labs Limited,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031,#N/A
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,EQ,INE980O01024,#N/A
Kajaria Ceramics Limited,Consumer Durables,KAJARIACER,EQ,INE217B01036,#N/A
Kalyan Jewellers India Limited,Consumer Durables,KALYANKJIL,EQ,INE303R01014,F&O
Kansai Nerolac Paints Limited,Consumer Durables,KANSAINER,EQ,INE531A01024,#N/A
Karur Vysya Bank Limited,Financial Services,KARURVYSYA,EQ,INE036D01028,#N/A
Kaynes Technology India Limited,Capital Goods,KAYNES,EQ,INE918Z01012,F&O
KDDL Limited,Consumer Durables,KDDL,EQ,INE291D01011,#N/A
KEC International Limited,Capital Goods,KEC,EQ,INE389H01022,#N/A
KEI Industries Limited,Capital Goods,KEI,EQ,INE878B01027,F&O
Kfin Technologies Limited,Financial Services,KFINTECH,EQ,INE138Y01010,F&O
Krishna Institute of Medical Sciences Limited,Healthcare,KIMS,EQ,INE967H01017,#N/A
Kirloskar Brothers Limited,Capital Goods,KIRLOSBROS,EQ,INE732A01036,#N/A
Kirloskar Oil Engines Limited,Capital Goods,KIRLOSENG,EQ,INE146L01010,#N/A
Kirloskar Industries Limited,Capital Goods,KIRLOSIND,EQ,INE250A01039,#N/A
Kewal Kiran Clothing Limited,Textiles,KKCL,EQ,INE401H01017,#N/A
KNR Constructions Limited,Construction,KNRCON,EQ,INE634I01029,#N/A
Kolte - Patil Developers Limited,Realty,KOLTEPATIL,EQ,INE094I01018,#N/A
Kotak Mahindra Bank Limited,Financial Services,KOTAKBANK,EQ,INE237A01028,F&O
KPI Green Energy Limited,Power,KPIGREEN,EQ,INE542W01017,#N/A
Kalpataru Projects International Limited,Construction,KPIL,EQ,INE220B01022,#N/A
KPIT Technologies Limited,Information Technology,KPITTECH,EQ,INE04I401011,F&O
K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031,#N/A
KRBL Limited,Fast Moving Consumer Goods,KRBL,EQ,INE001B01026,#N/A
Ksb Limited,Capital Goods,KSB,EQ,INE999A01015,#N/A
Kaveri Seed Company Limited,Fast Moving Consumer Goods,KSCL,EQ,INE455I01029,#N/A
Kalyani Steels Limited,Capital Goods,KSL,EQ,INE907A01026,#N/A
The Karnataka Bank Limited,Financial Services,KTKBANK,EQ,INE614B01018,#N/A
